SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1000,['wok' 'lakeside' 'cash machine' 'obelisk' 'teddy' 'rugby ball' 'lion' 'American alligator' 'confectionery' 'guinea pig'],59.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1000,['wok' 'lakeside' 'cash machine' 'obelisk' 'teddy' 'rugby ball' 'lion' 'American alligator' 'confectionery' 'guinea pig'],59.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1001,['potpie' 'suspension bridge' 'sports car' 'Chihuahua' 'bannister' 'spiny lobster' 'cockroach' 'alp' 'cougar' 'remote control'],52.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1001,['potpie' 'suspension bridge' 'sports car' 'Chihuahua' 'bannister' 'spiny lobster' 'cockroach' 'alp' 'cougar' 'remote control'],53.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1002,['sports car' 'convertible' 'ice cream' 'desk' 'alp' 'centipede' 'seashore' 'poncho' 'sea cucumber' 'picket fence'],51.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1002,['sports car' 'convertible' 'ice cream' 'desk' 'alp' 'centipede' 'seashore' 'poncho' 'sea cucumber' 'picket fence'],57.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1003,['freight car' 'umbrella' 'bighorn' 'barbershop' 'goose' 'butcher shop' 'stopwatch' 'ladybug' 'golden retriever' 'trilobite'],51.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1003,['freight car' 'umbrella' 'bighorn' 'barbershop' 'goose' 'butcher shop' 'stopwatch' 'ladybug' 'golden retriever' 'trilobite'],54.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1004,['stopwatch' 'beach wagon' 'fly' 'mashed potato' 'pretzel' 'centipede' 'bighorn' 'beaker' 'sulphur butterfly' 'magnetic compass'],58.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1004,['stopwatch' 'beach wagon' 'fly' 'mashed potato' 'pretzel' 'centipede' 'bighorn' 'beaker' 'sulphur butterfly' 'magnetic compass'],57.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1005,['syringe' 'wok' 'sandal' 'parking meter' 'altar' 'backpack' 'dam' 'tabby' 'mashed potato' 'ice lolly'],52.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1005,['syringe' 'wok' 'sandal' 'parking meter' 'altar' 'backpack' 'dam' 'tabby' 'mashed potato' 'ice lolly'],50.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1006,['lemon' 'maypole' 'vestment' 'turnstile' 'space heater' 'organ' 'pomegranate' 'cougar' 'bell pepper' 'school bus'],60.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1006,['lemon' 'maypole' 'vestment' 'turnstile' 'space heater' 'organ' 'pomegranate' 'cougar' 'bell pepper' 'school bus'],66.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1007,['punching bag' 'parking meter' 'orangutan' 'mashed potato' 'cockroach' 'lesser panda' 'tabby' 'projectile' 'beer bottle' 'rugby ball'],50.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1007,['punching bag' 'parking meter' 'orangutan' 'mashed potato' 'cockroach' 'lesser panda' 'tabby' 'projectile' 'beer bottle' 'rugby ball'],55.40%,True,100,25,10,0.00100,0.00,32x32x3
