n01443537	goldfish, Carassius auratus
n01629819	European fire salamander, Salamandra salamandra
n01641577	bullfrog, Rana catesbeiana
n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
n01698640	American alligator, Alligator mississipiensis
n01742172	boa constrictor, Constrictor constrictor
n01768244	trilobite
n01770393	scorpion
n01774384	black widow, Latrodectus mactans
n01774750	tarantula
n01784675	centipede
n01855672	goose
n01882714	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
n01910747	jellyfish
n01917289	brain coral
n01944390	snail
n01945685	slug
n01950731	sea slug, nudibranch
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n01984695	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
n02002724	black stork, Ciconia nigra
n02056570	king penguin, Aptenodytes patagonica
n02058221	albatross, mollymawk
n02074367	dugong, Dugong dugon
n02085620	Chihuahua
n02094433	Yorkshire terrier
n02099601	golden retriever
n02099712	Labrador retriever
n02106662	German shepherd, German shepherd dog, German police dog, alsatian
n02113799	standard poodle
n02123045	tabby, tabby cat
n02123394	Persian cat
n02124075	Egyptian cat
n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
n02129165	lion, king of beasts, Panthera leo
n02132136	brown bear, bruin, Ursus arctos
n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
n02190166	fly
n02206856	bee
n02226429	grasshopper, hopper
n02231487	walking stick, walkingstick, stick insect
n02233338	cockroach, roach
n02236044	mantis, mantid
n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
n02281406	sulphur butterfly, sulfur butterfly
n02321529	sea cucumber, holothurian
n02364673	guinea pig, Cavia cobaya
n02395406	hog, pig, grunter, squealer, Sus scrofa
n02403003	ox
n02410509	bison
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02423022	gazelle
n02437312	Arabian camel, dromedary, Camelus dromedarius
n02480495	orangutan, orang, orangutang, Pongo pygmaeus
n02481823	chimpanzee, chimp, Pan troglodytes
n02486410	baboon
n02504458	African elephant, Loxodonta africana
n02509815	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
n02666196	abacus
n02669723	academic gown, academic robe, judge's robe
n02699494	altar
n02730930	apron
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
n02788148	bannister, banister, balustrade, balusters, handrail
